Hours_Studied;Attendance;Parental_Involvement;Parental_Involvement_ordinal;Access_to_Resources;Access_to_Resources_ordinal;Extracurricular_Activities;Sleep_Hours;Previous_Scores;Motivation_Level;Motivation_Level_ordinal;Internet_Access;Tutoring_Sessions;Family_Income;Family_Income_ordinal;Teacher_Quality;Teacher_Quality_ordinal;Peer_Influence;Peer_Influence_ordinal;Physical_Activity;Learning_Disabilities;Parental_Education_Level;Parental_Education_Level_ordinal;Distance_from_Home;Distance_from_Home_ordinal;Exam_Score;School_Type_Private;School_Type_Public;Gender_Female;Gender_Male
0.5116279069767441;0.34452034758124034;Low;1;High;3;0;0.4999999999999999;-0.14349105455892994;Low;1;1;0.0;Low;1;Medium;2;Positive;1;0.5;0;High School;0;Near;0;-0.06441555223921687;False;True;False;True
0.4186046511627907;-1.387108776397756;Low;1;Medium;2;0;0.6666666666666666;-1.1157632691344355;Low;1;1;0.25;Medium;2;Medium;2;Negative;-1;0.6666666666666666;0;College;1;Moderate;1;-1.5974095529172805;False;True;True;False
0.5348837209302325;1.5566607343665377;Medium;2;Medium;2;1;0.4999999999999999;1.106573221323863;Medium;2;1;0.25;Medium;2;Medium;2;Neutral;0;0.6666666666666666;0;Postgraduate;2;Near;0;1.7240774485518573;False;True;False;True
0.6511627906976744;0.7774276285759895;Low;1;Medium;2;1;0.6666666666666666;1.5927093286116158;Medium;2;1;0.125;Medium;2;Medium;2;Negative;-1;0.6666666666666666;0;High School;0;Moderate;1;0.9575804482128255;False;True;False;True
0.4186046511627907;1.0371719971728388;Medium;2;Medium;2;1;0.33333333333333337;-0.6990751771735045;Medium;2;1;0.375;Medium;2;High;3;Neutral;0;0.6666666666666666;0;College;1;Near;0;0.7020814480998149;False;True;True;False
0.4186046511627907;0.6908461723770396;Medium;2;Medium;2;1;0.6666666666666666;0.9676771906702193;Medium;2;1;0.375;Medium;2;Medium;2;Positive;1;0.5;0;Postgraduate;2;Near;0;0.9575804482128255;False;True;False;True
0.6511627906976744;0.34452034758124034;Medium;2;Low;1;1;0.4999999999999999;-0.49073113119303907;Low;1;1;0.125;Low;1;Medium;2;Neutral;0;0.3333333333333333;0;High School;0;Moderate;1;-0.06441555223921687;True;False;False;True
0.5581395348837209;-0.17496838961245856;Low;1;High;3;1;0.33333333333333337;-1.740795407075832;Medium;2;1;0.125;High;3;High;3;Negative;-1;0.3333333333333333;0;High School;0;Far;2;-0.3199145523522275;False;True;False;True
0.37209302325581395;1.2103349095707385;Medium;2;High;3;0;0.33333333333333337;0.34264505272882284;High;3;1;0.0;Medium;2;Low;1;Neutral;0;0.16666666666666666;0;College;1;Near;0;0.44658244798680435;True;False;False;True
0.5116279069767441;1.5566607343665377;Medium;2;Medium;2;1;0.6666666666666666;-0.2823870852125736;Medium;2;1;0.0;High;3;High;3;Positive;1;0.8333333333333333;0;High School;0;Moderate;1;1.213079448325836;False;True;False;True
0.37209302325581395;-0.0018054772145589292;Low;1;High;3;0;0.6666666666666666;0.8982291753433975;Medium;2;0;0.5;Medium;2;High;3;Neutral;0;0.6666666666666666;0;College;1;Moderate;1;0.19108344787379372;True;False;False;True
0.37209302325581395;1.470079278167588;Medium;2;High;3;1;0.33333333333333337;0.8287811600165756;Low;1;1;0.25;Low;1;High;3;Neutral;0;0.3333333333333333;0;High School;0;Near;0;0.9575804482128255;True;False;False;True
0.46511627906976744;0.25793889138229054;Medium;2;Medium;2;1;0.6666666666666666;1.5232613132847939;Low;1;1;0.25;Medium;2;Medium;2;Positive;1;0.6666666666666666;0;High School;0;Near;0;0.7020814480998149;False;True;False;True
0.18604651162790697;0.1713574351833407;Medium;2;Medium;2;1;0.6666666666666666;-0.21293906988575176;Medium;2;1;0.25;Medium;2;Medium;2;Positive;1;0.5;0;Postgraduate;2;Near;0;-0.3199145523522275;True;False;False;True
0.20930232558139533;-0.17496838961245856;Medium;2;High;3;1;0.6666666666666666;-0.0740430392321081;Medium;2;1;0.125;Low;1;Medium;2;Neutral;0;0.6666666666666666;0;Postgraduate;2;Near;0;-0.5754135524652381;True;False;False;True
0.37209302325581395;-1.0407829516019567;Medium;2;Medium;2;0;0.6666666666666666;-0.35183510053939543;Medium;2;1;0.25;Medium;2;Medium;2;Positive;1;0.6666666666666666;0;High School;0;Near;0;-0.8309125525782487;True;False;True;False
0.3023255813953489;-1.7334346011935553;Medium;2;Low;1;1;0.9999999999999999;-0.6990751771735045;Low;1;1;0.0;High;3;Medium;2;Positive;1;0.5;0;College;1;Near;0;-1.8529085530302911;True;False;False;True
0.48837209302325585;-0.8676200392040571;Low;1;Medium;2;1;0.33333333333333337;0.48154108338246654;Medium;2;1;0.125;Low;1;High;3;Neutral;0;0.5;0;High School;0;Near;0;-0.5754135524652381;False;True;True;False
0.32558139534883723;-0.0018054772145589292;Medium;2;Medium;2;1;0.8333333333333334;1.106573221323863;Low;1;1;0.375;Low;1;Medium;2;Positive;1;0.3333333333333333;0;College;1;Moderate;1;-0.06441555223921687;False;True;True;False
0.2558139534883721;-0.434712758209308;Medium;2;High;3;1;0.4999999999999999;-1.1852112844612572;Medium;2;1;0.375;Medium;2;Medium;2;Positive;1;0.6666666666666666;0;College;1;Near;0;-0.3199145523522275;True;False;False;True
